time,S,E,I,R
118,99744.9262462141,14.99378456775551,20.623397596069758,219.4565716219259
119,99736.85670281632,15.452356660039456,21.255133370274265,226.43580715321983
120,99728.540727601,15.924658288635452,21.905845150691807,233.62876895954744
121,99719.97096553328,16.411081999091074,22.576079405335882,241.0418730621595
122,99711.13985274096,16.912030394794986,23.266396857603947,248.68172000650858
123,99702.03961125699,17.427916319678946,23.977372763002652,256.55509966018894
124,99692.662243673185,17.959163039028255,24.70959718470727,264.6689961029396
125,99682.99952770633,18.506204417927957,25.463675267376587,273.03059260822675
126,99673.04301067872,19.069485096837415,26.24022750859989,281.64727671572035
127,99662.78400391506,19.64946066373724,27.03989002730325,290.52664539376644
128,99652.21357705849,20.24659782227437,27.863314828391996,299.67651029072135
129,99641.32255230797,20.861374555276264,28.71117006285435,309.10490307376557
130,99630.10149858087,21.494280282963768,29.584140282495518,318.8200808535487
131,99618.54072560361,22.14581601514781,30.482926688411712,328.830531692727
132,99606.63027793483,22.816494496649486,31.40824737225129,339.14498019615127
133,99594.35992892538,23.506840345133256,32.360837549245865,349.7723931801327
134,99581.71917461962,24.217390180490412,33.34144978192686,360.72198541786423
135,99568.69722760397,24.948692744855798,34.35085419337132,372.0032254577021
136,99555.28301080826,25.701309012284806,35.38983866874617,383.62584151061475
137,99541.46515126631,26.47581228705928,36.45920904384193,395.5998274026812
138,99527.23197384308,27.272788289529515,37.5597892792058,407.9354485880749
139,99512.57149493568,28.092835228335844,38.692421618399656,420.6432482174873
140,99497.47141615684,28.9365638577875,39.85796672881949,433.73405325644285
141,99481.91911800994,29.804597519108114,41.05730382342142,447.2189806474187
142,99465.90165356499,30.697572164186564,42.29133076160366,461.10944350911564
143,99449.40574214647,31.616136360398684,43.56096412739508,475.4171573656271
144,99432.41776304429,32.560951274995325,44.867139282999375,490.1541463976189
145,99414.92374925983,33.53269063745776,46.21081039563683,505.3327497069659
146,99396.90938130066,34.532040678134585,47.59295043551,520.9656275855845
147,99378.35998103733,35.55970004149149,49.01455114261903,537.0657677784604
148,99359.2605056377,36.61637967205925,50.476622960035904,553.6464917300934
149,99339.59554159484,37.70280267118074,51.98019493111922,570.7214608027602
150,99319.34929886516,38.819704122562726,53.52631455802594,588.3046824541417
151,99298.50560513564,39.96783088454557,55.1160476187596,606.4105163609547
152,99277.04790023883,41.14794134690321,56.75047793987117,625.0536804742911
153,99254.95923073683,42.360805149896244,58.4307071217964,644.2492569913817
154,99232.22224469553,43.60720286321807,60.157854213678455,664.0126982274758
155,99208.81918667267,44.88792562238487,61.933055334393224,684.3598323704555
156,99184.73189294382,46.20377472002709,63.75746323636499,705.3068690996873
157,99159.94178699235,47.55556114944931,65.6322468086269,726.8704050494536
158,99134.42987529059,48.9441050977388,67.5585905154462,749.0674290961005
159,99108.17674340075,50.37023538561934,69.53769376670076,771.9153274467965
160,99081.16255242615,51.83478885116326,71.57077021606362,795.4318885064941
161,99053.3670358442,53.338609674394085,73.65904698292537,819.6353074983587
162,99024.76949675474,54.88254863973701,75.80376379385889,844.5441908115455
163,98995.34880557857,56.46746233320428,78.00617203931021,870.1775600487923
164,98965.08339824276,58.09421227118264,80.26753374109293,896.5548557448332
165,98933.9512748911,59.76366395748853,82.589120426144,923.6959407251479
166,98901.92999915974,61.47668586524908,84.97221190185047,951.6211030730241
167,98868.99669805929,63.234148340974116,87.4180949282662,980.3510586713425
168,98835.12806250674,65.03692242674336,89.92806178245586,1009.9069532839216
169,98800.30034855286,66.88587859730697,92.50340871005426,1040.3103641396463
170,98764.48937935103,68.7818854088114,95.14543425905761,1071.5833009809633
171,98727.67054791647,70.72580805583247,97.85543749088784,1103.7482065366632
172,98689.81882072554,72.71850683332099,100.634716063787,1136.827956377204
173,98650.90874220697,74.76083550011997,103.48456418356858,1170.8458581091957
174,98610.91444017828,76.85363954083685,106.4062704167419,1205.8256498640044
175,98569.80963228206,78.9977543229542,109.40111536108363,1241.791498033772
176,98527.56763347836,81.19400314614025,112.47036916883481,1278.7679942065395
177,98484.16136465067,83.44319518084161,115.61528891781394,1316.7801512505405
178,98439.56336238436,85.7461232934155,118.83711582586055,1355.8533984962191
179,98393.7457899774,88.10356175526519,122.13707230419449,1396.0135759629961
180,98346.68044974431,90.51626383366317,125.51635884549844,1437.2869275763942
181,98298.33879667512,92.98495926219839,128.97615074279761,1479.70009331976
182,98248.69195351169,95.51035158908044,132.51759463551136,1523.2801002635713
183,98197.71072730442,98.09311540187421,136.1418048793999,1568.0543524141617
184,98145.36562751183,100.7338934277928,139.8498597375657,1614.0506193226772
185,98091.62688570707,103.433293508513,143.6427973900864,1661.2970233942
186,98036.46447695476,106.19188544872259,147.52161176017887,1709.8220258362192
187,97979.84814291744,109.01019774154605,151.48724815578606,1759.6544111850922
188,97921.7474167561,111.88871416879968,155.54059872610696,1810.8232703488557
189,97862.1316498839,114.82787027832023,159.68249773296796,1863.3579821046667
190,97800.970040632,117.8280497409288,163.9137166376496,1917.2881929892608
191,97738.23166488364,120.88958059014259,168.23495900489402,1972.6437955211675
192,97673.8855087307,124.01273134810435,172.64685522688825,2029.4549046941609
193,97607.90050320435,127.19770704207626,177.14995707089912,2087.7518326825143
194,97540.24556112765,130.44464511698644,181.74473205518188,2147.5650617000333
195,97470.88961613376,133.75361125051404,186.43155765899772,2208.9252149565796
196,97399.80166388991,137.12459507807628,191.21071537394252,2271.8630256579386
197,97326.95080556115,140.55750583607684,196.08238460514232,2336.409303997508
198,97252.30629354333,144.05216793294142,201.04663643222855,2402.5949020913786
199,97175.83757948776,147.60831645868026,206.10342724147853,2470.450676811938
200,97097.51436463367,151.22559264491375,211.252592242122,2540.0074504791633
201,97017.30665245645,154.90353928851926,216.493838881503,2611.295969373398
202,96935.18480363242,158.64159615335532,221.826740175511,2684.346860038576
203,96851.11959331087,162.4390953658714,227.25072797247637,2759.190583350634
204,96765.08227067502,166.2952568219731,232.76508617062424,2835.857386332229
205,96677.0446207637,170.2091836232026,238.36894391105332,2914.377251701898
206,96586.979028515,174.17985756150358,244.0612687699606,2994.7798451533877
207,96494.85854497712,178.20613467716765,249.84085997632147,3077.0944603692305
208,96400.65695562592,182.28674090905864,255.7063416832075,3161.349961781657
209,96304.34885071147,186.42026786216348,261.6561563225562,3247.574725103657
210,96205.90969754304,190.60516871835006,267.6885580751911,3335.796575663275
211,96105.3159146072,194.83975431725347,273.80160649022287,3426.0427245851793
212,96002.54494739957,199.1221894349369,279.99316029009026,3518.339702875263
213,95897.57534583498,203.45048928920838,286.26087139924505,3612.713293476427
214,95790.38684308517,207.8225163018411,292.60217923616295,3709.188461376692
215,95680.96043567648,212.23597714893648,299.0143053101726,3807.789281864278
216,95569.27846466376,216.68842013132513,305.4942481663539,3908.5388670384377
217,95455.32469767971,221.17723289749588,312.0387787232456,4011.459290699432
218,95339.0844116422,225.69964055211312,318.64443604932575,4116.571511756247
219,95220.54447588492,230.25270418355063,325.3075236253016,4223.895296306112
220,95099.69343546002,234.83331984394533,332.0241061401642,4333.44913855575
221,94976.52159434481,239.43821801510583,338.7900068696173,4445.250180770345
222,94851.02109826833,244.06396359323972,345.6008056858151,4559.314132452493
223,94723.18601685793,248.70695642484728,352.4518377473368,4675.655188969766
224,94593.01242479251,253.36343242392238,359.33819291776405,4794.28594986568
225,94460.4984816305,258.0294653035196,366.25471596087544,4915.217337104989
226,94325.6445099639,262.7009689549526,373.19600756081934,5038.458513520214
227,94188.45307156543,267.37370048145283,380.15642621120446,5164.01680174179
228,94048.92904114457,272.0432639315548,387.13009101511454,5291.897603908641
229,93907.07967734248,276.7051147494995,394.11088543802174,5422.104322469874
230,93762.91469058565,281.35456495926314,401.0924620532483,5554.638282401726
231,93616.4463074122,285.98678909665495,408.0682483145225,5689.498655176517
232,93467.6893308801,290.5968309033404,415.0314533852719,5826.682384831172
233,93316.6611966644,295.1796107925307,421.9750760508289,5966.184116492131
234,93163.3820244526,299.7299340900843,428.891913735903,6107.996127721297
235,93007.87466425162,304.2425000498165,435.7745726440821,6252.108263054366
236,92850.1647372251,308.711911637849,442.6154790295151,6398.507872107425
237,92690.280670689,313.13268607621603,449.40689160450995,6547.1797516301585
238,92528.25372690508,317.4992661302568,456.14091508050836,6698.106091884026
239,92364.11802532665,321.8060321184519,462.80951483299856,6851.266427721777
240,92197.91055796856,326.0473146178099,469.4045326732401,7006.637594740273
241,92029.67119759419,330.2174078323902,475.91770370166745,7164.193690871639
242,91859.44269843526,334.3105835867289,482.34067420984564,7323.906043768045
243,91687.27068918718,338.3211058999699,488.6650205897566,7485.743184322966
244,91513.20365805525,342.24324608778466,494.8822692002758,7649.670826656575
245,91337.29292964857,346.0712983434112,500.9839171330002,7815.651854874903
246,91159.59263354642,349.79959574687143,506.96145381437185,7983.64631689223
247,90980.15966446258,353.4225265889254,512.8063833657377,8153.611425582641
248,90799.05363387534,356.93455098957605,518.5102476353724,8325.50156749959
249,90616.33681308995,360.3302177226089,524.0646498144671,8499.268319372857
250,90432.07406773571,363.604181159943,529.4612785426267,8674.860472561622
251,90246.33278374426,366.75121824911145,534.691932397056,8852.224065609471
252,90059.18278489685,369.7662454413936,539.7485446509553,9031.302425010712
253,89870.69624207346,372.64433548479815,544.6232081833025,9212.036214258347
254,89680.9475743864,375.38073398994663,549.3082004196838,9394.363491203876
255,89490.01334242769,377.9708756750123,553.7960081789054,9578.219773718309
256,89297.97213390571,380.41040019775284,558.0793522949209,9763.538113601518
257,89104.90444199149,382.6951674841717,562.151211881085,9950.249178643153
258,88910.89253673908,384.8212724635784,566.0048481035733,10138.281342693674
259,88716.02032998837,386.7850591209413,569.6338273310649,10327.560783559522
260,88520.37323419894,388.58313378053964,573.0320435280795,10518.011588492353
261,88324.03801570158,390.21237753909156,576.1937397608247,10709.555866998411
262,88127.1026428905,391.6699577708473,579.1135286876876,10902.113870650861
263,87929.65612991105,392.95333863185874,581.7864119111056,11095.604119545893
264,87731.7883764234,394.06029049966645,584.2077980735486,11289.94353500329
265,87533.59000405959,394.9888982805883,586.3735195857528,11485.047578073967
266,87335.15219022107,395.7375685192615,588.279847879067,11680.83039338051
267,87136.56649981113,396.3050353158705,589.9235070898055,11877.2049577831
268,86937.9247156126,396.6903649604661,591.3016860930139,12074.083233333833
269,86739.31866797028,396.89295926657115,592.4120488071605,12271.376323955888
270,86540.84006444969,396.912557589753,593.2527427006158,12468.994635259844
271,86342.58032014144,396.7492375231836,593.8224054468042,12666.848036888487
272,86144.63038928085,396.4034142634156,594.1201696897625,12864.846026765881
273,85947.08059884323,395.87583864893975,594.145665892089,13062.897896615643
274,85750.02048475886,395.16759388751603,593.8990232472867,13260.912898106233
275,85553.53863137258,394.2800909981818,593.3808686519384,13458.80040897718
276,85357.72251475097,393.2150630001433,592.5923237480706,13656.470098500691
277,85162.65835041433,391.97455788764074,591.5350000592147,13853.8320916387
278,84968.43094604093,390.5609304385073,590.2109922550616,14050.7971312654
279,84775.12355965728,388.9768329123568,588.6228695911527,14247.276737839109
280,84582.81776379229,387.22520470075324,586.7736655822345,14443.18336592461
281,84391.5933160347,385.3092609971362,584.6668659795331,14638.430556988516
282,84201.52803639248,383.23248055964655,582.3063951324234,14832.93308791534
283,84012.69769181027,380.9985926450275,579.6966008241343,15026.607114720462
284,83825.17588815195,378.61156319975515,576.842237680502,15219.370310967692
285,83639.03396992505,376.07558038410195,573.7484492575786,15411.142000433174
286,83454.34092798698,373.3950395032867,570.4207489163766,15601.843283593258
287,83271.1633153399,370.57452749934134,566.864999608274,15791.397157552397
288,83089.56517120985,367.6188070230985,563.0873926982795,15979.728629068692
289,82909.60795347962,364.53280019455536,559.0944259487977,16166.764820376935
290,82731.35047951172,361.32157215001246,554.8928807877284,16352.435067550443
291,82554.84887535441,357.99031446851603,550.4897989921436,16536.671011184837
292,82380.15653328899,354.5443285580892,545.892458922007,16719.406679230822
293,82207.32407763731,350.98900908092014,541.1083514340881,16900.57856184759
294,82036.39933870774,347.32982749958575,536.1451556009335,17080.12567819165
295,81867.42733472108,343.57231582381246,531.0107143580343,17257.989635096983
296,81700.45026152588,339.7220506300428,525.7130102013015,17434.114677642694
297,81535.50748988264,335.78463742004163,520.2601410527108,17608.44773164452
298,81372.6355700687,331.76569538125284,514.6602964051355,17780.938438144844
299,81211.86824352914,327.6708426077232,508.9217338508155,17951.539180012256
300,81053.23646127788,323.5056818346542,503.05275609225856,18120.205100795138
