time,S,I,R
214,77115.85721769233,289.7218888845419,22594.420893423245
215,77092.99589444467,279.64617286176394,22627.3579326937
216,77073.19566343531,269.89862474168285,22656.905711823132
217,77056.34597805626,260.4724088283288,22683.181613115536
218,77042.33919614158,251.36042677646117,22706.30037708209
219,77031.07060137167,242.55536789314775,22726.374030735307
220,77022.43841268585,234.04975520172695,22743.511832112545
221,77016.34378292503,225.8359874680989,22757.820229607005
222,77012.69078784769,217.90637739650614,22769.40283475592
223,77011.38640658537,210.25318620576542,22778.360407208973
224,77012.3404945274,202.868654798637,22784.790850674075
225,77015.46574955157,195.74503173594042,22788.7892187126
226,77020.67767244895,188.87459822382382,22790.44772932734
227,77027.89452232272,182.24969031832478,22789.855787359076
228,77037.03726767687,175.86271854560795,22787.100013777643
229,77048.02953385041,169.7061851293994,22782.264281020325
230,77060.79754739512,163.7726990095821,22775.42975359543
231,77075.27007794158,158.05498882778312,22766.67493323077
232,77091.37837804676,152.54591404724914,22756.075707906108
233,77109.0561214702,147.2384743655424,22743.70540416439
234,77128.2393402806,142.1258175697072,22729.6348421498
235,77148.8663611551,137.20124597468254,22713.93239287033
236,77170.8777411938,132.45822157694914,22696.664037229366
237,77194.21620353867,127.8903700467793,22677.893426414677
238,77218.82657305233,123.49148367406272,22657.68194327374
239,77244.65571228313,119.25552337455882,22636.08876434244
240,77271.65245791522,115.17661985561207,22613.170922229296
241,77299.76755787732,111.24907403288762,22588.983368089917
242,77328.95360926127,107.46735678255797,22563.579033956295
243,77359.16499718017,103.82610810661086,22537.008894713337
244,77390.35783467736,100.32013578255707,22509.32202954021
245,77422.48990377995,96.94441356279617,22480.565682657372
246,77455.52059777547,93.69407898324572,22450.7853232414
247,77489.41086477558,90.56443083554736,22420.02470438898
248,77524.12315261894,87.55092635222223,22388.325921028958
249,77559.62135515302,84.6491781495487,22355.729466697532
250,77595.87075992573,81.85495096866153,22322.274289105706
251,77632.83799730722,79.16415825141311,22287.997844441477
252,77670.49099105554,76.5728585838765,22252.936150360692
253,77708.79891033193,74.07725203699256,22217.12383763119
254,77747.7321231653,71.67367643075468,22180.59420040406
255,77787.26215136025,69.35860354546803,22143.3792450944
256,77827.36162683784,67.12863530100095,22105.509737861266
257,77868.00424939442,64.98049992254924,22067.015250683147
258,77909.16474585977,62.91104810924454,22027.9242060311
259,77950.8188306334,60.91724921994242,21988.26392014676
260,77992.94316757449,58.996187488709715,21948.060644936915
261,78035.51533321907,57.14505828088164,21907.339608500144
262,78078.51378129664,55.361164399064656,21866.125054304383
263,78121.91780851588,53.64191244710929,21824.440279037095
264,78165.70752158905,51.98480925885719,21782.307669152175
265,78209.8638054631,50.38745839736753,21739.748736139616
266,78254.36829272495,48.847556729340575,21696.78415054579
267,78299.20333414809,47.362891078570804,21653.433774773424
268,78344.35197034718,45.93133496147029,21609.716694691415
269,78389.79790450758,44.55084540699679,21565.651250085506
270,78435.52547615604,43.219459862693114,21521.25506398136
271,78481.51963594007,41.93529318798731,21476.54507087203
272,78527.76592138273,40.696534735411426,21431.53754388195
273,78574.25043358046,39.50144551996322,21386.248120899676
274,78620.9598148121,38.348355476455694,21340.691829711544
275,78667.88122702752,37.235660804367875,21294.88311216821
276,78715.00233118502,36.161821399421385,21248.835847415645
277,78762.31126740722,35.125358370862195,21202.563374222016
278,78809.79663592583,34.124851643216545,21156.078512431057
279,78857.44747878691,33.15893764110142,21109.393583572088
280,78905.25326228775,32.22630705551823,21062.520430656838
281,78953.20386011811,31.325702689937327,21015.470437192056
282,79001.28953717982,30.455917384387817,20968.254545435888
283,79049.50093405852,29.61579201567524,20920.88327392589
284,79097.82905212221,28.80421357175676,20873.36673430612
285,79146.2652392223,28.020113298283377,20825.714647479504
286,79194.80117597478,27.26246491536201,20777.93635910995
287,79243.4288625973,26.530282902394916,20730.040854500377
288,79292.1406062811,25.822620848988816,20682.036772869986
289,79340.92900907571,25.138569869845508,20633.932421054524
290,79389.78695626688,24.477257081622767,20585.735786651592
291,79438.70760522739,23.83784413971553,20537.45455063298
292,79487.68437472197,23.219525832947028,20489.096099445185
293,79536.71093464758,22.621528734187745,20440.667536618334
294,79585.78119619186,22.043109904950953,20392.175693903293
295,79634.88930239233,21.483555652049485,20343.627141955716
296,79684.02961908019,20.942180334437328,20295.02820058548
297,79733.19672619275,20.418325218401392,20246.38494858895
298,79782.3854094397,19.911357379312687,20197.70323318109
299,79831.59065230824,19.420668648191555,20148.988679043672
300,79880.80762839339,18.945674601388458,20100.246697005317
301,79930.03169403996,18.48581359172943,20051.482492368403
302,79979.25838128319,18.040545819523587,20002.701072897395
303,80028.48339107577,17.609352441878553,19953.907256482442
304,80077.70258678951,17.19173471881844,19905.105678491764
305,80126.91198797981,16.787213194747217,19856.30079882554
306,80176.10776440249,16.39532691384868,19807.496908683755
307,80225.28623027224,16.015632668061677,19758.698137059804
308,80274.44383875254,15.647704276316349,19709.908456971232
309,80323.57717666778,15.291131893763279,19661.13169143856
310,80372.68295942772,14.945521349772992,19612.371519222594
311,80421.75802615625,14.610493513527622,19563.631480330318
312,80470.79933501505,14.285683686070083,19514.914981298993
313,80519.80395871474,13.97074101771861,19466.22530026765
314,80568.76908020543,13.665327949795824,19417.565591844883
315,80617.69198853908,13.369119679661745,19368.93889178137
316,80666.57007489672,13.081803648079418,19320.348121455314
317,80715.40082877362,12.803079047979631,19271.79609217851
318,80764.1818343158,12.532656353728127,19223.28550933058
319,80812.91076680158,12.270256870034366,19174.818976328497
320,80861.58538926223,12.015612299675352,19126.398998438217
321,80910.20354923584,11.768464329241421,19078.027986435038
322,80958.76317564903,11.528564232143088,19029.708260118932
323,81007.26227582108,11.295672488149176,18981.442051690887
324,81055.69893258536,11.069558418756376,18933.23150899601
325,81104.07130152348,10.84999983771938,18885.07869863893
326,81152.37760830724,10.636782716098478,18836.98560897678
327,81200.61614614408,10.429700861208362,18788.95415299483
328,81248.78527332164,10.228555608877711,18740.986171069595
329,81296.88341084756,10.033155528453829,18693.08343362411
330,81344.90904018037,9.843316140010565,18645.24764367976
331,81392.86070104792,9.65885964324057,18597.48043930897
332,81440.73698934977,9.479614657534984,18549.78339599282
333,81488.53655513987,9.305415972774817,18502.15802888747
334,81536.2581006866,9.136104310378446,18454.605795003146
335,81583.90037860665,8.971526094169258,18407.128095299304
336,81631.46219007016,8.81153323064601,18359.726276699315
337,81678.94238307382,8.655982898256436,18312.40163402804
338,81726.33985077945,8.504737345291753,18265.1554118754
339,81773.65352991516,8.357663696036209,18217.988806388938
340,81820.882399237,8.214633764821516,18170.902966998296
341,81868.02547804815,8.075523877651124,18123.898998074328
342,81915.08182477353,7.9402147010737805,18076.977960525528
343,81962.05053558786,7.808591077999621,18030.140873334272
344,82008.93074309462,7.680541870165312,17983.38871503534
345,82055.72161505415,7.555959806967474,17936.72242513901
346,82102.42235315878,7.434741340395715,17890.14290550095
347,82149.03219185324,7.316786505808299,17843.651021641082
348,82195.55039719843,7.2019987883045244,17797.24760401341
349,82241.97626577692,7.090284994458593,17750.933449228778
350,82288.30912363846,6.981555129189907,17704.709321232494
351,82334.54832528406,6.875722277554466,17658.57595243851
352,82380.69325268686,6.772702491251394,17612.53404482201
353,82426.74331434857,6.672414679647499,17566.584270971904
354,82472.69794439002,6.574780505131318,17520.727275104968
355,82518.55660167446,6.479724282616251,17474.963674043036
356,82564.31876896236,6.387172883020186,17429.29405815473
357,82609.98395209642,6.297055640556465,17383.718992263137
358,82655.5516792157,6.209304263678189,17338.23901652074
359,82701.02149999769,6.123852749524665,17292.85464725291
360,82746.39298492722,6.040637301725318,17247.566377771167
361,82791.6657245913,5.959596251422638,17202.37467915741
362,82836.83932899855,5.880669981381673,17157.280001020183
363,82881.9134269229,5.803800853059294,17112.28277222418
364,82926.88766526974,5.728933136511898,17067.383401593885
365,82971.76170846465,5.656012943025426,17022.58227859246
366,83016.53523786303,5.584988160356556,16977.879773976747
367,83061.2079511803,5.515808390478689,16933.276240429357
368,83105.77956194169,5.4484248897309095,16888.772013168735
369,83150.2497989509,5.3827905112724315,16844.367410537983
370,83194.61840577712,5.31885964974923,16800.0627345733
371,83238.88514025927,5.256588188083539,16755.858271552817
372,83283.04977402734,5.1959334463006615,16711.75429252653
373,83327.11209203975,5.136854132311229,16667.751053828113
374,83371.07189213639,5.0793102945705,16623.84879756922
375,83414.92898460662,5.023263276539603,16580.047752117025
376,83458.68319177175,4.968675672876858,16536.34813255555
377,83502.33434758145,4.915511287290287,16492.750141131433
378,83545.88229722345,4.863735091985398,16449.253967684737
379,83589.32689674622,4.813313188645065,16405.859790065304
380,83632.66801269402,4.7642127708810245,16362.567774535255
381,83675.90552175393,4.716402088099019,16319.378076158117
382,83719.03931041436,4.669850410722093,16276.290839175077
383,83762.06927463457,4.62452799671884,16233.306197368862
384,83804.99531952509,4.580406059385663,16190.424274415682
385,83847.81735903812,4.537456736334216,16147.645184225688
386,83890.53531566811,4.49565305963726,16104.969031272385
387,83933.14912016166,4.454968927088089,16062.395910911368
388,83975.65871123677,4.415379074530585,16019.925909688814
389,84018.06403531079,4.37685904921873,15977.559105640092
390,84060.3650462371,4.339385184166111,15935.295568578844
391,84102.56170504975,4.302934573447604,15893.135360376906
392,84144.6539797163,4.26748504841699,15851.078535235385
393,84186.64184489804,4.233015154805753,15809.125139947246
394,84228.52528171775,4.199504130669743,15767.27521415167
395,84270.3042775344,4.166931885151777,15725.528790580542
396,84311.97882572477,4.1352789780295085,15683.885895297291
397,84353.54892547164,4.10452660001927,15642.346547928442
398,84395.01458155824,4.074656553808018,15600.91076188805
399,84436.37580416896,4.045651235785807,15559.578544595362
400,84477.63260869576,4.01749361845305,15518.349897685894
401,84518.78501555043,3.9901672334782057,15477.224817216194
402,84559.83304998222,3.9636561553817535,15436.203293862507
403,84600.77674190073,3.937944985823643,15395.285313113563
404,84641.61612570395,3.9130188384723734,15354.470855457705
405,84682.35124011111,3.8888633244346957,15313.759896564572
406,84722.98212800038,3.8654645382258153,15273.15240746151
407,84763.50883625093,3.842809044260779,15232.648354704928
408,84803.9314155895,3.8208838638485214,15192.247700546774
409,84844.24992044116,3.79967646267082,15151.950403096296
410,84884.46440878412,3.779174738729105,15111.756416477285
411,84924.57494200845,3.7593670107427912,15071.665690980937
412,84964.58158477863,3.7402420069834603,15031.678173214523
413,85004.48440489962,3.7217888545298505,14991.793806245994
414,85044.28347318652,3.7039970689292443,14952.012529744685
415,85083.97886333763,3.6868565442514263,14912.334280118255
416,85123.57065181059,3.670357543521945,14872.758990646023
417,85163.05891770181,3.654490689521964,14833.286591608785
418,85202.44374262886,3.639246955942512,14793.917010415305
419,85241.7252106157,3.624617658881427,14754.650171725543
420,85280.90340798067,3.6105944486717974,14715.485997570791
421,85319.97842322728,3.5971693020311437,14676.424407470824
422,85358.95034693749,3.5843345145210326,14637.46531854812
423,85397.81927166745,3.572082693307261,14598.608645639371
424,85436.58529184565,3.560406750211131,14559.854301404286
425,85475.24850367327,3.5492998950427563,14521.20219643184
426,85513.80900502688,3.538755629207704,14482.652239344065
427,85552.26689536311,3.5287677395786496,14444.204336897468
428,85590.62227562534,3.519330292624079,14405.85839408218
429,85628.87524815244,3.5104376287863914,14367.614314218908
430,85667.02591658923,3.502084357102112,14329.471999053807
431,85705.07438579874,3.494265350057207,14291.43134885133
432,85743.0207617763,3.486975738670822,14253.49226248516
433,85780.86515156504,3.4802109078010353,14215.654637527274
434,85818.60766317318,3.4739664916665167,14177.918370335263
435,85856.24840549259,3.4682383695782373,14140.283356137936
436,85893.78748821892,3.4630226618756534,14102.749489119322
437,85931.22502177296,3.4583157260620205,14065.316662501096
438,85968.56111722343,3.4541141531337596,14027.984768623559
439,86005.79588621085,3.450414764099011,13990.753699025176
440,86042.92944087267,3.447214606680756,13953.62334452079
441,86079.96189376939,3.4445109522000905,13916.593595278542
442,86116.89335781193,3.4423012926354666,13879.664340895577
443,86153.72394618971,3.440583337853901,13842.835470472593
444,86190.45377229985,3.4393550130103616,13806.106872687295
445,86227.08294967725,3.4386144561117398,13769.478435866793
446,86263.61159192536,3.4383600157419894,13732.950048059052
447,86300.03981264782,3.4385902489452005,13696.521597103381
448,86336.36772538083,3.4393039192635575,13660.192970700067
449,86372.59544352605,3.44049999492729,13623.964056479188
450,86408.7230802843,3.4421776471938994,13587.834742068668
451,86444.75074858974,3.4443362488340967,13551.804915161596
452,86480.6785610445,3.4469753727620542,13515.87446358291
453,86516.50662985392,3.450094790807711,13480.04327535544
454,86552.23506676214,3.4536944726290324,13444.311238765402
455,86587.86398298806,3.457774584762266,13408.678242427359
456,86623.39348916164,3.462335489808369,13373.144175348734
457,86658.82369526055,3.4673777457539265,13337.708926993872
458,86694.15471054701,3.472902105425014,13302.37238734774
459,86729.38664350481,3.4789095160725836,13267.13444697929
460,86764.51960177657,3.4854011190880883,13231.994997104519
461,86799.55369210102,3.4923782498481746,13196.953929649308
462,86834.48902025045,3.499842437687408,13162.011137312034
463,86869.32569096812,3.507795405998108,13127.166513626042
464,86904.06380790572,3.5162390724564854,13092.419953021983
465,86938.70347356069,3.525175549374406,13057.771350890096
466,86973.24478921352,3.5346071441761966,13023.220603642445
467,87007.68785486497,3.5445363600000466,12988.767608775164
468,87042.03276917296,3.5549658964236395,12954.412264930761
469,87076.2796293893,3.5658986503137933,12920.154471960515
470,87110.42853129635,3.5773377167999665,12885.994130986992
471,87144.47956914302,3.5892863903716044,12851.931144466742
472,87178.43283558082,3.601748166099414,12817.965416253222
473,87212.2884215992,3.6147267409807475,12784.096851659957
474,87246.04641646073,3.628226015409383,12750.325357524
475,87279.70690763563,3.642250094770088,12716.650842269735
476,87313.26998073592,3.6568032911584796,12683.07321597306
477,87346.73571944895,3.671890125226746,12649.592390425973
478,87380.10420547036,3.687515328155949,12616.208279201626
479,87413.3755184365,3.7036838437556936,12582.920797719884
480,87446.54973585602,3.720400830692061,12549.729863313418
481,87479.62693304091,3.737671664844804,12516.635395294372
482,87512.60718303667,3.7555019417948956,12483.637315021671
483,87545.4905565517,3.773897479443635,12450.73554596899
484,87578.27712188594,3.7928643207645956,12417.930013793422
485,87610.96694485853,3.8124087366898234,12385.220646404907
486,87643.56008873455,3.83253722913177,12352.607374036445
487,87676.05661415085,3.8532565341425618,12320.090129315151
488,87708.45657904072,3.8745736252123044,12287.668847334196
489,87740.76003855777,3.896495716708218,12255.343465725662
490,87772.96704499831,3.9190302674565016,12223.113924734367
491,87805.07764772295,3.9421849844689394,12190.980167292711
492,87837.09189307672,3.9659678268163403,12158.942139096587
493,87869.0098243081,3.990387009651038,12126.999788682378
494,87900.83148148663,4.015451008380749,12095.153067505122
495,87932.55690141926,4.041168562996229,12063.401930017882
496,87964.18611756524,4.0675486825552305,12031.746333752359
497,87995.71915994954,4.094600649825427,12000.186239400795
498,88027.15605507483,4.122334026089023,11968.721610899245
499,88058.49682583183,4.150758656111912,11937.352415512229
500,88089.74149140804,4.179884673280357,11906.07862391884
501,88120.8900671949,4.209722504908261,11874.900210300362
502,88151.94256469302,4.240282877718218,11843.817152429432
503,88182.89899141586,4.271576823499663,11812.829431760822
504,88213.75935079136,4.303615684947539,11781.937033523873
505,88244.52364206182,4.336411121685023,11751.13994681667
506,88275.19186018172,4.369975116473971,11720.438164701984
507,88305.76399571354,4.4043199816168785,11689.831684305042
508,88336.24003472143,4.4394583655542474,11659.320506913204
509,88366.61995866294,4.475403259661407,11628.904638077598
510,88396.90374427816,4.512168005248936,11598.584087716772
511,88427.09136347698,4.549766300770987,11568.358870222422
512,88457.18278322367,4.588212209245915,11538.229004567256
513,88487.17796541918,4.627520165893773,11508.194514415107
514,88517.0768667809,4.6677049859953685,11478.255428233273
515,88546.87943871996,4.70878187297767,11448.41177940724
516,88576.58562721561,4.75076642673056,11418.663606357817
517,88606.19537268727,4.793674652160016,11389.010952660728
518,88635.70860986337,4.837522967982953,11359.45386716881
519,88665.12526764759,4.882328215769143,11329.992404136812
520,88694.44526898203,4.9281076692357155,11300.626623348906
521,88723.66853070736,4.974879043799931,11271.35659024901
522,88752.79496341983,5.022660506396072,11242.182376073952
523,88781.82447132502,5.071470685562416,11213.104057989596
524,88810.75695208838,5.121328681804448,11184.12171922999
525,88839.59229668228,5.17225407824059,11155.235449239646
526,88868.33038922964,5.224266951536939,11126.445343819
527,88896.97110684386,5.2773878831375844,11097.751505273183
528,88925.51431946522,5.331637970797318,11069.154042564165
529,88953.95988969339,5.387038840423675,11040.653071466368
530,88982.3076726161,5.443612658235409,11012.248714725854
531,89010.55751563377,5.501382143244695,10983.941102223185
532,89038.70925828011,5.5603705800705034,10955.73037114003
533,89066.76273203846,5.620601832090774,10927.616666129648
534,89094.71776015392,5.682100354941183,10899.600139491353
535,89122.5741574408,5.744891210368496,10871.680951349024
536,89150.33173008593,5.809000080446628,10843.85926983382
537,89177.99027544685,5.874453282163771,10816.135271271187
538,89205.54958184554,5.941277782389086,10788.509140372267
539,89233.00942835712,6.0095012132276455,10760.981070429829
540,89260.36958459356,6.079151887772519,10733.551263518846
541,89287.62981048209,6.150258816263039,10706.219930701833
542,89314.78985603845,6.222851722658502,10678.987292239066
543,89341.84946113473,6.296961061636717,10651.853577803813
544,89368.80835526144,6.37261803602702,10624.819026702722
545,89395.66625728404,6.449854614687539,10597.883888101465
546,89422.42287519356,6.528703550836699,10571.048421255791
547,89449.0779058512,6.6091984008491,10544.312895748144
548,89475.63103472671,6.691373543526143,10517.677591729944
549,89502.0819356306,6.775264199851898,10491.142800169731
550,89528.43027043968,6.860906453244936,10464.708823107254
551,89554.67568881615,6.948337270316993,10438.375973913713
552,89580.81782791973,7.037594522149527,10412.144577558289
553,89606.85631211298,7.128717006099385,10386.01497088109
554,89632.7907526593,7.2217444681449985,10359.98750287273
555,89658.62074741375,7.316717625784646,10334.062534960638
556,89684.34588050634,7.4136781914985095,10308.240441302341
557,89709.96572201759,7.512668896786414,10282.521609085816
558,89735.47982764627,7.613733516793271,10256.906438837126
559,89760.88773836911,7.716916895534399,10231.395344735529
